,track_popularity,danceability,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness_energy_combined
21386,62,0.852,0.105,0.104,0.0,0.0732,0.592,132.089,149413,-3.8245
1208,16,0.684,0.0453,0.404,2.77e-05,0.0989,0.425,113.917,270787,-3.3520000000000003
23481,75,0.769,0.0385,0.66,0.0,0.0914,0.803,96.051,164640,-2.43
3627,78,0.446,0.0764,0.0232,0.395,0.297,0.332,123.45,272027,-3.5575000000000006
4155,59,0.683,0.0433,0.378,0.0424,0.119,0.42,116.911,182667,-2.9325
17500,77,0.78,0.0427,0.148,2.36e-06,0.0627,0.909,133.263,191973,-1.403
14637,3,0.419,0.0456,0.00945,0.0,0.0682,0.374,77.459,236129,-1.6295000000000002
22131,68,0.536,0.123,0.64,5.88e-06,0.147,0.375,135.872,211567,-5.01
5928,69,0.833,0.17,0.13,0.0,0.0858,0.389,100.03,198608,-2.114
1643,19,0.517,0.0423,0.000319,3.81e-05,0.27,0.5,139.894,197467,-1.911
12043,71,0.309,0.0646,0.0014,0.000271,0.582,0.302,183.035,231533,-1.4845
20553,42,0.818,0.12,0.296,0.0,0.106,0.562,97.98,206547,-3.3085
511,2,0.739,0.046,0.0262,0.00237,0.126,0.46,124.977,194967,-1.9024999999999999
25076,1,0.686,0.124,0.176,0.0,0.154,0.582,98.767,327640,-6.206499999999999
7691,21,0.853,0.0603,0.0154,8.2e-06,0.227,0.876,102.933,239653,-2.2935
10284,37,0.769,0.276,0.802,0.0,0.118,0.475,139.901,166286,-4.6155
26981,37,0.573,0.0688,2.31e-05,0.65,0.102,0.438,127.992,302400,-1.3479999999999999
1444,44,0.562,0.0345,3.79e-05,0.0,0.0858,0.703,137.008,182480,-2.3035
8749,5,0.51,0.347,0.0738,0.0,0.5,0.53,201.936,268867,-1.1855
11275,51,0.298,0.0924,0.0326,0.000547,0.0708,0.388,179.953,400693,-3.267
3712,17,0.673,0.0893,0.037,9.95e-06,0.0875,0.705,102.013,199227,-1.9365
22588,70,0.706,0.331,0.337,0.0,0.122,0.144,115.414,205093,-4.593
28921,49,0.781,0.116,0.00238,0.45,0.075,0.521,127.999,128906,-3.427
28223,60,0.649,0.0651,0.000838,0.49,0.295,0.427,128.04,217784,-0.9475
27093,40,0.761,0.0495,0.861,0.149,0.109,0.667,133.995,125380,-5.034000000000001
17406,58,0.634,0.0546,0.00499,0.000193,0.0732,0.309,148.024,263716,-2.5589999999999997
12161,35,0.613,0.0346,0.0484,0.00011,0.0661,0.619,138.43,231853,-3.0155
29726,47,0.536,0.0461,0.000951,0.00587,0.0729,0.455,131.082,213493,-2.02
12290,52,0.475,0.0312,0.0218,0.0221,0.391,0.524,96.378,397773,-6.241499999999999
16743,48,0.685,0.0728,0.0706,0.0,0.153,0.65,104.924,187714,-3.3335
28685,60,0.829,0.0635,0.00378,0.00946,0.217,0.628,127.028,190394,-1.44
9891,33,0.83,0.345,0.0858,0.407,0.0926,0.561,120.006,132193,-6.2604999999999995
12554,67,0.551,0.152,0.000652,0.000257,0.0637,0.466,127.657,282747,-1.862
